Schema item,Kind,Data type,Extends,Restricts,Abstract,Subst Group,Comment,Namespace
AbstractEvaluation,global complexType,,jdf:AbstractTerm,,,,"",JDFCapability.xsd
AbstractSpan,global complexType,,jdf:BaseElement_,,,,"",JDFCore.xsd
AbstractStates,global element,jdf:DevCapState,,,true,,"",JDFCapability.xsd
AbstractTerm,global complexType,,jdf:BaseElement_,,,,"",JDFCapability.xsd
AbstractTerms,global element,jdf:AbstractTerm,,,true,,"",JDFCapability.xsd
Acknowledge,global complexType,,jdf:Message,,,,"",JDFCore.xsd
AcknowledgeAbortQueueEntry,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeCloseQueue,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeFlushQueue,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeFlushResources,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeHoldQueue,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeHoldQueueEntry,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeNewJDF,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeNodeInfo,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeOpenQueue,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgePipeClose,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgePipePause,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgePipePull,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgePipePush,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeRemoveQueueEntry,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeRequestQueueEntry,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeResource,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeResourcePull,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeResubmitQueueEntry,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeResumeQueue,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeResumeQueueEntry,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeReturnQueueEntry,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeSetQueueEntryPosition,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeSetQueueEntryPriority,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeShutdown,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeStopPersistentChannel,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeSubmitQueueEntry,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeSuspendQueueEntry,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
AcknowledgeWakeUp,global complexType,,jdf:JMFAbstractAcknowledge_,,,,"",JDFMessage.xsd
Action,global complexType,,jdf:BaseElement_,,,,"",JDFCapability.xsd
ActionPool,global complexType,,jdf:BaseElement_,,,,"",JDFCapability.xsd
Address,global element,jdf:Address_r,,,,jdf:Resource,"",JDFResource.xsd
Address_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
Address_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
Address_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
AddressAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
AddressAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
AddressAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
AddressLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
AdhesiveBinding,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
AdhesiveBindingParams,global element,jdf:AdhesiveBindingParams_r,,,,jdf:Resource,"",JDFResource.xsd
AdhesiveBindingParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
AdhesiveBindingParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
AdhesiveBindingParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
AdhesiveBindingParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
AdhesiveBindingParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
AdhesiveBindingParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
AdhesiveBindingParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
AdhesiveBindingResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
All,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
Ancestor,global complexType,,jdf:BaseElement_,,,,"",JDFCore.xsd
AncestorPool,global element,jdf:AncestorPool_,,,,,"",JDFCore.xsd
AncestorPool_,global complexType,,jdf:BaseElement_,,,,"",JDFCore.xsd
and,global complexType,,jdf:AbstractTerm,,,,"",JDFCapability.xsd
and,global element,jdf:and,,,,jdf:AbstractTerms,"",JDFCapability.xsd
AnnotationProperties,global attributeGroup,,,,,,"",JDFResource.xsd
AnyMessage,global group,,,,,,"",JDFCore.xsd
Approval,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
ApprovalParams,global element,jdf:ApprovalParams_r,,,,jdf:Resource,"",JDFResource.xsd
ApprovalParams_ApprovalPerson_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
ApprovalParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
ApprovalParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
ApprovalParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
ApprovalParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
ApprovalParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
ApprovalParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
ApprovalParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
ApprovalSuccess,global element,jdf:ApprovalSuccess_r,,,,jdf:Resource,"",JDFResource.xsd
ApprovalSuccess_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
ApprovalSuccess_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
ApprovalSuccess_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
ApprovalSuccessAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
ApprovalSuccessAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
ApprovalSuccessAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
ApprovalSuccessLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
ArtDeliveryIntent,global element,jdf:ArtDeliveryIntent_r,,,,jdf:Resource,"",JDFResource.xsd
ArtDeliveryIntent_ArtDelivery_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
ArtDeliveryIntent_r,global complexType,,jdf:IntentResource,,,,"",JDFResource.xsd
ArtDeliveryIntent_rp,global complexType,,jdf:IntentResourceLeaf,,,,"",JDFResource.xsd
ArtDeliveryIntentAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
ArtDeliveryIntentAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
ArtDeliveryIntentAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
ArtDeliveryIntentLink,global element,jdf:IntentLink,,,,jdf:ResourceLink,"",JDFResource.xsd
Assembly,global element,jdf:Assembly_r,,,,jdf:Resource,"",JDFResource.xsd
Assembly_AssemblySection_AssemblySection_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
Assembly_AssemblySection_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
Assembly_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
Assembly_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
Assembly_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
AssemblyAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
AssemblyAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
AssemblyAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
AssemblyLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
AssetListCreation,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
AssetListCreationParams,global element,jdf:AssetListCreationParams_r,,,,jdf:Resource,"",JDFResource.xsd
AssetListCreationParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
AssetListCreationParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
AssetListCreationParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
AssetListCreationParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
AssetListCreationParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
AssetListCreationParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
AssetListCreationParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
AssetListCreationResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
AuditAttribs,global attributeGroup,,,,,,"",JDFCore.xsd
AuditElement,global complexType,,jdf:BaseElement_,,,,"",JDFCore.xsd
AuditPool,global element,jdf:AuditPool_,,,,,"",JDFCore.xsd
AuditPool_,global complexType,,jdf:BaseElement_,,,,"",JDFCore.xsd
AutomatedOverprintParams,global element,jdf:AutomatedOverprintParams_r,,,,jdf:Resource,"",JDFResource.xsd
AutomatedOverprintParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
AutomatedOverprintParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
AutomatedOverprintParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
AutomatedOverprintParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
AutomatedOverprintParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
AutomatedOverprintParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
AutomatedOverprintParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
Barcode,global element,,jdf:NotificationDetails,,,jdf:NotificationDetails,"",JDFCore.xsd
BaseElement_,global complexType,,,,,,"",JDFCore.xsd
BasicPreflightTest,global complexType,,jdf:BaseElement_,,,,"",JDFCapability.xsd
BinderySignature,global element,jdf:BinderySignature_r,,,,jdf:Resource,"",JDFResource.xsd
BinderySignature_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
BinderySignature_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
BinderySignature_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
BinderySignature_SignatureCell_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
BinderySignatureAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
BinderySignatureAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
BinderySignatureAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
BinderySignatureLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
BindingIntent,global element,jdf:BindingIntent_r,,,,jdf:Resource,"",JDFResource.xsd
BindingIntent_BindList_BindItem_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
BindingIntent_BindList_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
BindingIntent_r,global complexType,,jdf:IntentResource,,,,"",JDFResource.xsd
BindingIntent_rp,global complexType,,jdf:IntentResourceLeaf,,,,"",JDFResource.xsd
BindingIntentAdhesiveBinding,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
BindingIntentAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
BindingIntentAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
BindingIntentAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
BindingIntentBookCase,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
BindingIntentChannelBinding,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
BindingIntentCoilBinding,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
BindingIntentEdgeGluing,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
BindingIntentHardCoverBinding,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
BindingIntentLink,global element,jdf:IntentLink,,,,jdf:ResourceLink,"",JDFResource.xsd
BindingIntentPlasticCombBinding,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
BindingIntentRingBinding,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
BindingIntentSaddleStitching,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
BindingIntentSideSewing,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
BindingIntentSideStitching,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
BindingIntentSoftCoverBinding,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
BindingIntentStripBinding,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
BindingIntentTabs,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
BindingIntentTape,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
BindingIntentThreadSealing,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
BindingIntentThreadSewing,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
BindingIntentWireCombBinding,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
BlockPreparation,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
BlockPreparationParams,global element,jdf:BlockPreparationParams_r,,,,jdf:Resource,"",JDFResource.xsd
BlockPreparationParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
BlockPreparationParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
BlockPreparationParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
BlockPreparationParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
BlockPreparationParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
BlockPreparationParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
BlockPreparationParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
BlockPreparationResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
boolean,global simpleType,xs:boolean,,,,,"",JDFTypes.xsd
BooleanEvaluation,global complexType,,jdf:AbstractEvaluation,,,,"",JDFCapability.xsd
BooleanEvaluation,global element,jdf:BooleanEvaluation,,,,jdf:AbstractTerms,"",JDFCapability.xsd
booleanList,global simpleType,,,,,,"",JDFTypes.xsd
BooleanState,global complexType,,jdf:DevCapState,,,,"",JDFCapability.xsd
BooleanState,global element,jdf:BooleanState,,,,jdf:AbstractStates,"",JDFCapability.xsd
BoxPacking,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
BoxPackingParams,global element,jdf:BoxPackingParams_r,,,,jdf:Resource,"",JDFResource.xsd
BoxPackingParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
BoxPackingParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
BoxPackingParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
BoxPackingParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
BoxPackingParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
BoxPackingParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
BoxPackingParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
BoxPackingResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
BoxProperties,global attributeGroup,,,,,,"",JDFResource.xsd
Buffer,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
BufferParams,global element,jdf:BufferParams_r,,,,jdf:Resource,"",JDFResource.xsd
BufferParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
BufferParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
BufferParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
BufferParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
BufferParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
BufferParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
BufferParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
Bundle,global element,jdf:Bundle_r,,,,jdf:Resource,"",JDFResource.xsd
Bundle_BundleItem_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
Bundle_r,global complexType,,jdf:QuantityResource,,,,"",JDFResource.xsd
Bundle_re,global complexType,,jdf:PhysicalResourceElement,,,,"",JDFResource.xsd
Bundle_rp,global complexType,,jdf:QuantityResourceLeaf,,,,"",JDFResource.xsd
BundleAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
BundleAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
BundleAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
BundleLink,global element,jdf:QuantityLink,,,,jdf:ResourceLink,"",JDFResource.xsd
Bundling,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
BundlingParams,global element,jdf:BundlingParams_r,,,,jdf:Resource,"",JDFResource.xsd
BundlingParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
BundlingParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
BundlingParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
BundlingParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
BundlingParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
BundlingParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
BundlingParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
BundlingResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
ByteMap,global element,jdf:ByteMap_r,,,,jdf:Resource,"",JDFResource.xsd
ByteMap_Band_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
ByteMap_PixelColorant_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
ByteMap_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
ByteMap_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
ByteMap_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
ByteMapAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
ByteMapAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
ByteMapAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
ByteMapLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
call,global complexType,,jdf:BaseElement_,,,,"",JDFCapability.xsd
CaseMaking,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
CaseMakingParams,global element,jdf:CaseMakingParams_r,,,,jdf:Resource,"",JDFResource.xsd
CaseMakingParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
CaseMakingParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
CaseMakingParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
CaseMakingParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
CaseMakingParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
CaseMakingParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
CaseMakingParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
CaseMakingResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
CasingIn,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
CasingInParams,global element,jdf:CasingInParams_r,,,,jdf:Resource,"",JDFResource.xsd
CasingInParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
CasingInParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
CasingInParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
CasingInParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
CasingInParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
CasingInParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
CasingInParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
CasingInResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
ChannelBinding,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
ChannelBindingParams,global element,jdf:ChannelBindingParams_r,,,,jdf:Resource,"",JDFResource.xsd
ChannelBindingParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
ChannelBindingParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
ChannelBindingParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
ChannelBindingParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
ChannelBindingParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
ChannelBindingParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
ChannelBindingParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
ChannelBindingResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
choice,global complexType,,jdf:BaseElement_,,,,"",JDFCapability.xsd
CIELABMeasuringField,global element,jdf:CIELABMeasuringField_r,,,,jdf:Resource,"",JDFResource.xsd
CIELABMeasuringField_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
CIELABMeasuringField_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
CIELABMeasuringField_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
CIELABMeasuringFieldAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
CIELABMeasuringFieldAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
CIELABMeasuringFieldAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
CIELABMeasuringFieldLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
ClassProperties,global attributeGroup,,,,,,"",JDFResource.xsd
CMYKColor,global simpleType,jdftyp:ColorValueList,,,,,"",JDFTypes.xsd
CoilBinding,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
CoilBindingParams,global element,jdf:CoilBindingParams_r,,,,jdf:Resource,"",JDFResource.xsd
CoilBindingParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
CoilBindingParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
CoilBindingParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
CoilBindingParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
CoilBindingParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
CoilBindingParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
CoilBindingParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
CoilBindingResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
Collecting,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
CollectingParams,global element,jdf:CollectingParams_r,,,,jdf:Resource,"",JDFResource.xsd
CollectingParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
CollectingParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
CollectingParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
CollectingParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
CollectingParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
CollectingParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
CollectingParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
CollectingResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
Color,global element,jdf:Color_r,,,,jdf:Resource,"",JDFResource.xsd
Color_DeviceNColor_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
Color_PrintConditionColor_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
Color_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
Color_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
Color_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
ColorantAlias,global element,jdf:ColorantAlias_r,,,,jdf:Resource,"",JDFResource.xsd
ColorantAlias_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
ColorantAlias_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
ColorantAlias_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
ColorantAliasAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
ColorantAliasAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
ColorantAliasAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
ColorantAliasLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
ColorantControl,global element,jdf:ColorantControl_r,,,,jdf:Resource,"",JDFResource.xsd
ColorantControl_CO_CP_DCO_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
ColorantControl_ColorSpaceSubstitute_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
ColorantControl_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
ColorantControl_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
ColorantControl_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
ColorantControlAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
ColorantControlAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
ColorantControlAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
ColorantControlLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
