Schema item,Kind,Data type,Extends,Restricts,Abstract,Subst Group,Comment,Namespace
GlueApplication_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
GlueApplicationAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
GlueApplicationAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
GlueApplicationAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
GlueApplicationLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
GlueLine,global element,jdf:GlueLine_r,,,,jdf:Resource,"",JDFResource.xsd
GlueLine_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
GlueLine_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
GlueLine_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
GlueLineAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
GlueLineAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
GlueLineAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
GlueLineLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
Gluing,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
GluingParams,global element,jdf:GluingParams_r,,,,jdf:Resource,"",JDFResource.xsd
GluingParams_Glue_lr,global complexType,,jdf:BaseElement_,,,,"",JDFResource.xsd
GluingParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
GluingParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
GluingParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
GluingParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
GluingParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
GluingParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
GluingParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
GluingResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
GraphicProperties,global attributeGroup,,,,,,"",JDFResource.xsd
gYearMonth,global simpleType,xs:gYearMonth,,,,,"",JDFTypes.xsd
HandlingAttribs,global attributeGroup,,,,,,"",JDFCore.xsd
HandlingLink,global complexType,,jdf:PhysicalResourceLink,,,,"",JDFCore.xsd
HandlingResource,global complexType,,jdf:PhysicalResource,,,,"",JDFCore.xsd
HandlingResourceLeaf,global complexType,,jdf:PhysicalResourceLeaf,,,,"",JDFCore.xsd
HeadBandApplication,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
HeadBandApplicationParams,global element,jdf:HeadBandApplicationParams_r,,,,jdf:Resource,"",JDFResource.xsd
HeadBandApplicationParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
HeadBandApplicationParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
HeadBandApplicationParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
HeadBandApplicationParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
HeadBandApplicationParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
HeadBandApplicationParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
HeadBandApplicationParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
HeadBandApplicationResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
hexBinary,global simpleType,xs:hexBinary,,,,,"",JDFTypes.xsd
Hole,global element,jdf:Hole_r,,,,jdf:Resource,"",JDFResource.xsd
Hole_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
Hole_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
Hole_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
HoleAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
HoleAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
HoleAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
HoleLine,global element,jdf:HoleLine_r,,,,jdf:Resource,"",JDFResource.xsd
HoleLine_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
HoleLine_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
HoleLine_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
HoleLineAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
HoleLineAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
HoleLineAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
HoleLineLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
HoleLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
HoleList,global element,jdf:HoleList_r,,,,jdf:Resource,"",JDFResource.xsd
HoleList_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
HoleList_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
HoleList_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
HoleListAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
